Date,Station,Category,Value
2003-04-17,Changi,Min humidity,94.31
2003-04-17,Changi,Max humidity,100.00
2003-04-18,Changi,Max humidity,100.00
2003-04-19,Changi,Max humidity,100.00
2003-04-20,Changi,Max humidity,100.00
2003-04-20,Changi,Min humidity,94.31
2003-04-22,Changi,Max humidity,100.00
2003-04-23,Changi,Max humidity,100.00
2003-04-24,Changi,Min humidity,94.31
2003-04-25,Changi,Max Temperature,33.00
2003-04-27,Changi,Max Temperature,33.00
2003-04-28,Changi,Min humidity,94.31
2003-04-29,Changi,Max humidity,100.00
2003-04-29,Changi,Min humidity,94.31
2003-04-29,Changi,Max Temperature,33.00
2003-05-01,Changi,Max humidity,100.00
2003-05-02,Changi,Max humidity,100.00
2003-05-03,Changi,Max humidity,100.00
2003-05-06,Changi,Max humidity,100.00
2003-05-07,Changi,Max humidity,100.00
2003-05-07,Changi,Min humidity,94.35
2003-05-08,Changi,Max humidity,100.00
2003-05-10,Changi,Max humidity,100.00
2003-05-11,Changi,Max humidity,100.00
2003-05-13,Changi,Max humidity,100.00
2003-05-14,Changi,Max humidity,100.00
2003-05-14,Changi,Min Temperature,24.00
2003-05-17,Changi,Min humidity,94.35
2003-05-17,Changi,Max Temperature,34.00
2003-05-19,Changi,Max humidity,100.00
2003-05-19,Changi,Max Temperature,34.00
2003-05-20,Changi,Max humidity,100.00
2003-05-20,Changi,Max Temperature,34.00
2003-05-24,Changi,Max Temperature,34.00
2003-05-26,Changi,Max Temperature,34.00
2003-05-27,Changi,Max Temperature,34.00
2003-05-31,Changi,Max humidity,100.00
2003-05-31,Changi,Min Temperature,24.00
2003-06-01,Changi,Min humidity,94.27
2003-06-03,Changi,Max Temperature,34.00
2003-06-04,Changi,Max Temperature,34.00
2003-06-06,Changi,Max Temperature,34.00
2003-06-08,Changi,Max humidity,100.00
2003-06-08,Changi,Min humidity,94.27
2003-06-09,Changi,Min humidity,94.27
2003-06-10,Changi,Min humidity,94.27
2003-06-12,Changi,Min humidity,94.27
2003-06-12,Changi,Max humidity,100.00
2003-06-14,Changi,Min humidity,94.27
2003-06-15,Changi,Min humidity,94.27
2003-06-17,Changi,Min Temperature,23.00
2003-06-17,Changi,Max humidity,100.00
2003-06-19,Changi,Min humidity,94.27
2003-06-20,Changi,Min humidity,94.27
2003-06-20,Changi,Max Temperature,34.00
2003-06-21,Changi,Min humidity,94.27
2003-06-22,Changi,Min humidity,94.27
2003-06-23,Changi,Min humidity,94.27
2003-06-23,Changi,Max Temperature,34.00
2003-06-24,Changi,Min humidity,94.27
2003-06-25,Changi,Min humidity,94.27
2003-06-25,Changi,Max humidity,100.00
2003-06-26,Changi,Max humidity,100.00
2003-06-28,Changi,Min humidity,94.27
2003-06-29,Changi,Min humidity,94.27
2003-07-01,Changi,Max Temperature,32.00
2003-07-01,Changi,Max humidity,100.00
2003-07-02,Changi,Max humidity,100.00
2003-07-02,Changi,Max Temperature,32.00
2003-07-04,Changi,Max humidity,100.00
2003-07-05,Changi,Max Temperature,32.00
2003-07-06,Changi,Max Temperature,32.00
2003-07-07,Changi,Max Temperature,32.00
2003-07-07,Changi,Max humidity,100.00
2003-07-08,Changi,Min Temperature,23.00
2003-07-09,Changi,Max Temperature,32.00
2003-07-11,Changi,Max humidity,100.00
2003-07-12,Changi,Max humidity,100.00
2003-07-14,Changi,Max Temperature,32.00
2003-07-15,Changi,Max humidity,100.00
2003-07-15,Changi,Max Temperature,32.00
2003-07-16,Changi,Max humidity,100.00
2003-07-17,Changi,Max humidity,100.00
2003-07-18,Changi,Max Temperature,32.00
2003-07-19,Changi,Max humidity,100.00
2003-07-19,Changi,Min humidity,94.31
2003-07-20,Changi,Max humidity,100.00
2003-07-21,Changi,Max Temperature,32.00
2003-07-23,Changi,Max Temperature,32.00
2003-07-24,Changi,Max Temperature,32.00
2003-07-25,Changi,Max Temperature,32.00
2003-07-26,Changi,Max Temperature,32.00
2003-07-27,Changi,Max Temperature,32.00
2003-07-28,Changi,Min humidity,94.31
2003-07-28,Changi,Max Temperature,32.00
2003-07-29,Changi,Max Temperature,32.00
2003-07-30,Changi,Max Temperature,32.00
2003-07-31,Changi,Max Temperature,32.00
2003-08-02,Changi,Max humidity,100.00
2003-08-03,Changi,Max humidity,100.00
2003-08-05,Changi,Max humidity,100.00
2003-08-05,Changi,Min Temperature,24.00
2003-08-06,Changi,Max humidity,100.00
2003-08-09,Changi,Min humidity,94.31
2003-08-12,Changi,Max Temperature,33.00
2003-08-13,Changi,Max humidity,100.00
2003-08-14,Changi,Max humidity,100.00
2003-08-15,Changi,Max humidity,100.00
2003-08-17,Changi,Max humidity,100.00
2003-08-17,Changi,Min Temperature,24.00
2003-08-20,Changi,Max Temperature,33.00
2003-08-21,Changi,Min humidity,94.31
2003-08-22,Changi,Max Temperature,33.00
2003-08-23,Changi,Max Temperature,33.00
2003-08-24,Changi,Max humidity,100.00
2003-08-26,Changi,Max humidity,100.00
2003-08-26,Changi,Min humidity,94.31
2003-08-27,Changi,Max humidity,100.00
2003-08-27,Changi,Min humidity,94.31
2003-08-28,Changi,Max humidity,100.00
2003-08-28,Changi,Min Temperature,24.00
2003-08-30,Changi,Max humidity,100.00
2003-08-30,Changi,Min Temperature,24.00
2003-08-31,Changi,Min Temperature,24.00
2003-08-31,Changi,Max humidity,100.00
2003-09-02,Changi,Max humidity,100.00
2003-09-02,Changi,Min Temperature,23.00
2003-09-03,Changi,Max humidity,100.00
2003-09-07,Changi,Max Temperature,33.00
2003-09-09,Changi,Max humidity,100.00
2003-09-11,Changi,Max humidity,100.00
2003-09-12,Changi,Max humidity,100.00
2003-09-14,Changi,Max humidity,100.00
2003-09-14,Changi,Min humidity,94.31
2003-09-15,Changi,Max humidity,100.00
2003-09-18,Changi,Max humidity,100.00
2003-09-18,Changi,Min Temperature,23.00
2003-09-19,Changi,Max humidity,100.00
2003-09-20,Changi,Max humidity,100.00
2003-09-21,Changi,Max humidity,100.00
2003-09-22,Changi,Max humidity,100.00
2003-09-25,Changi,Max humidity,100.00
2003-09-26,Changi,Max humidity,100.00
2003-09-29,Changi,Max humidity,100.00
2003-09-29,Changi,Min humidity,94.31
2003-09-30,Changi,Max humidity,100.00
2003-10-03,Changi,Max humidity,100.00
2003-10-04,Changi,Max humidity,100.00
2003-10-04,Changi,Min humidity,94.31
2003-10-05,Changi,Max humidity,100.00
2003-10-06,Changi,Max humidity,100.00
2003-10-07,Changi,Max humidity,100.00
2003-10-08,Changi,Max humidity,100.00
2003-10-09,Changi,Max humidity,100.00
2003-10-11,Changi,Max humidity,100.00
2003-10-12,Changi,Max humidity,100.00
2003-10-14,Changi,Max humidity,100.00
2003-10-15,Changi,Max humidity,100.00
2003-10-15,Changi,Min Temperature,23.00
2003-10-17,Changi,Max humidity,100.00
2003-10-17,Changi,Min Temperature,23.00
2003-10-18,Changi,Max humidity,100.00
2003-10-20,Changi,Max humidity,100.00
2003-10-22,Changi,Min humidity,94.31
2003-10-22,Changi,Max Temperature,33.00
2003-10-23,Changi,Max humidity,100.00
2003-10-23,Changi,Min humidity,94.31
2003-10-24,Changi,Max Temperature,33.00
2003-10-26,Changi,Max humidity,100.00
2003-10-27,Changi,Max humidity,100.00
2003-10-28,Changi,Max humidity,100.00
2003-10-30,Changi,Max humidity,100.00
2003-10-31,Changi,Max humidity,100.00
2003-11-01,Changi,Max humidity,100.00
2003-11-01,Changi,Min Temperature,23.00
2003-11-02,Changi,Max humidity,100.00
2003-11-03,Changi,Max humidity,100.00
2003-11-03,Changi,Min humidity,94.31
2003-11-04,Changi,Max humidity,100.00
2003-11-05,Changi,Max humidity,100.00
2003-11-06,Changi,Max humidity,100.00
2003-11-06,Changi,Max Temperature,33.00
2003-11-09,Changi,Max humidity,100.00
2003-11-10,Changi,Max humidity,100.00
2003-11-11,Changi,Max humidity,100.00
2003-11-12,Changi,Max humidity,100.00
2003-11-13,Changi,Max Temperature,33.00
2003-11-14,Changi,Min humidity,94.31
2003-11-14,Changi,Max humidity,100.00
2003-11-16,Changi,Max humidity,100.00
2003-11-16,Changi,Min humidity,94.31
2003-11-17,Changi,Max humidity,100.00
2003-11-18,Changi,Max humidity,100.00
2003-11-19,Changi,Max humidity,100.00
2003-11-20,Changi,Max humidity,100.00
2003-11-21,Changi,Max humidity,100.00
2003-11-22,Changi,Max humidity,100.00
2003-11-26,Changi,Max humidity,100.00
2003-11-28,Changi,Max humidity,100.00
2003-11-29,Changi,Max humidity,100.00
2003-12-01,Changi,Max Temperature,32.00
2003-12-01,Changi,Max humidity,100.00
2003-12-02,Changi,Max humidity,100.00
2003-12-04,Changi,Max humidity,100.00
2003-12-07,Changi,Max humidity,100.00
2003-12-08,Changi,Max humidity,100.00
2003-12-09,Changi,Max humidity,100.00
2003-12-10,Changi,Max humidity,100.00
2003-12-11,Changi,Max humidity,100.00
2003-12-11,Changi,Min humidity,94.27
2003-12-12,Changi,Max humidity,100.00
2003-12-13,Changi,Max humidity,100.00
2003-12-14,Changi,Max humidity,100.00
2003-12-14,Changi,Min humidity,94.27
2003-12-15,Changi,Max humidity,100.00
2003-12-16,Changi,Max humidity,100.00
2003-12-16,Changi,Min humidity,94.27
2003-12-17,Changi,Min Temperature,23.00
2003-12-17,Changi,Max humidity,100.00
2003-12-18,Changi,Max humidity,100.00
2003-12-19,Changi,Max humidity,100.00
2003-12-20,Changi,Max humidity,100.00
2003-12-20,Changi,Min humidity,94.27
2003-12-21,Changi,Max humidity,100.00
2003-12-25,Changi,Max Temperature,32.00
2004-01-02,Changi,Max humidity,100.00
2004-01-02,Changi,Max Temperature,32.00
2004-01-03,Changi,Max Temperature,32.00
2004-01-04,Changi,Max Temperature,32.00
2004-01-05,Changi,Max humidity,100.00
2004-01-07,Changi,Max Temperature,32.00
2004-01-08,Changi,Max Temperature,32.00
2004-01-09,Changi,Min humidity,94.27
2004-01-11,Changi,Min humidity,94.27
2004-01-11,Changi,Max humidity,100.00
2004-01-14,Changi,Max Temperature,32.00
2004-01-14,Changi,Max humidity,100.00
2004-01-15,Changi,Max humidity,100.00
2004-01-16,Changi,Max Temperature,32.00
2004-01-17,Changi,Max Temperature,32.00
2004-01-19,Changi,Min humidity,94.27
2004-01-19,Changi,Max humidity,100.00
2004-01-19,Changi,Min Temperature,23.00
2004-01-20,Changi,Max humidity,100.00
2004-01-21,Changi,Max Temperature,32.00
2004-01-23,Changi,Max humidity,100.00
2004-01-23,Changi,Min humidity,94.27
2004-01-24,Changi,Max humidity,100.00
2004-01-24,Changi,Min Temperature,23.00
2004-01-25,Changi,Max humidity,100.00
2004-01-25,Changi,Min Temperature,23.00
2004-01-26,Changi,Max humidity,100.00
2004-01-26,Changi,Min humidity,94.27
2004-01-27,Changi,Max humidity,100.00
2004-01-28,Changi,Max humidity,100.00
2004-01-28,Changi,Min humidity,94.27
2004-01-29,Changi,Max humidity,100.00
2004-01-29,Changi,Min Temperature,23.00
2004-01-30,Changi,Max humidity,100.00
2004-01-31,Changi,Max humidity,100.00
2004-01-31,Changi,Min humidity,94.27
2004-02-01,Changi,Max humidity,100.00
2004-02-01,Changi,Min humidity,94.27
2004-02-02,Changi,Max humidity,100.00
2004-02-02,Changi,Min Temperature,23.00
2004-02-03,Changi,Max humidity,100.00
2004-02-03,Changi,Min humidity,94.27
2004-02-04,Changi,Max humidity,100.00
2004-02-04,Changi,Min humidity,94.27
2004-02-05,Changi,Min humidity,94.27
2004-02-06,Changi,Max humidity,100.00
2004-02-08,Changi,Max humidity,100.00
2004-02-25,Changi,Max Temperature,34.00
2004-02-29,Changi,Max humidity,100.00
2004-02-29,Changi,Min humidity,94.27
2004-03-02,Changi,Max Temperature,33.00
2004-03-03,Changi,Max humidity,100.00
2004-03-03,Changi,Min humidity,94.31
2004-03-04,Changi,Max humidity,100.00
2004-03-04,Changi,Max Temperature,33.00
2004-03-06,Changi,Max Temperature,33.00
2004-03-07,Changi,Max humidity,100.00
2004-03-08,Changi,Max humidity,100.00
2004-03-08,Changi,Min Temperature,23.00
2004-03-09,Changi,Max humidity,100.00
2004-03-09,Changi,Min Temperature,23.00
2004-03-10,Changi,Max humidity,100.00
2004-03-11,Changi,Max humidity,100.00
2004-03-11,Changi,Min Temperature,23.00
2004-03-12,Changi,Max humidity,100.00
2004-03-13,Changi,Max humidity,100.00
2004-03-15,Changi,Max humidity,100.00
2004-03-16,Changi,Max humidity,100.00
2004-03-17,Changi,Max humidity,100.00
2004-03-18,Changi,Max Temperature,33.00
2004-03-19,Changi,Max humidity,100.00
2004-03-20,Changi,Min Temperature,23.00
2004-03-20,Changi,Max humidity,100.00
2004-03-21,Changi,Max humidity,100.00
2004-03-25,Changi,Min humidity,94.31
2004-03-26,Changi,Min humidity,94.31
2004-03-26,Changi,Max Temperature,33.00
2004-03-26,Changi,Max humidity,100.00
2004-03-26,Changi,Min Temperature,23.00
2004-03-27,Changi,Max humidity,100.00
2004-03-27,Changi,Min humidity,94.31
2004-03-27,Changi,Max Temperature,33.00
2004-03-28,Changi,Max humidity,100.00
2004-03-28,Changi,Max Temperature,33.00
2004-03-29,Changi,Max humidity,100.00
2004-03-30,Changi,Max humidity,100.00
2004-03-30,Changi,Max Temperature,33.00
2004-03-31,Changi,Max Temperature,33.00
2004-04-03,Changi,Max humidity,100.00
2004-04-04,Changi,Max humidity,100.00
2004-04-04,Changi,Min Temperature,25.00
2004-04-04,Changi,Min humidity,94.31
2004-04-06,Changi,Max humidity,100.00
2004-04-07,Changi,Min humidity,94.31
2004-04-07,Changi,Max humidity,100.00
2004-04-08,Changi,Max humidity,100.00
2004-04-09,Changi,Max humidity,100.00
2004-04-10,Changi,Min humidity,94.31
2004-04-11,Changi,Max humidity,100.00
2004-04-14,Changi,Min humidity,94.31
2004-04-15,Changi,Min humidity,94.31
2004-04-17,Changi,Min humidity,94.31
2004-04-20,Changi,Max Temperature,35.00
2004-04-24,Changi,Max humidity,100.00
2004-04-25,Changi,Min humidity,94.31
2004-04-26,Changi,Min humidity,94.31
2004-04-27,Changi,Max humidity,100.00
2004-04-27,Changi,Min humidity,94.31
2004-04-28,Changi,Max humidity,100.00
2004-04-28,Changi,Min humidity,94.31
2004-04-29,Changi,Max humidity,100.00
2004-04-29,Changi,Min Temperature,25.00
2004-04-30,Changi,Max humidity,100.00
2004-04-30,Changi,Min Temperature,25.00
2004-05-01,Changi,Max humidity,100.00
2004-05-02,Changi,Max humidity,100.00
2004-05-04,Changi,Max humidity,100.00
2004-05-05,Changi,Max humidity,100.00
2004-05-06,Changi,Max humidity,100.00
2004-05-09,Changi,Max Temperature,34.00
2004-05-10,Changi,Max Temperature,34.00
2004-05-11,Changi,Max Temperature,34.00
2004-05-15,Changi,Max humidity,100.00
2004-05-15,Changi,Max Temperature,34.00
2004-05-16,Changi,Max humidity,100.00
2004-05-16,Changi,Min humidity,94.35
2004-05-18,Changi,Max humidity,100.00
2004-05-18,Changi,Max Temperature,34.00
2004-05-20,Changi,Max Temperature,34.00
2004-05-23,Changi,Max humidity,100.00
2004-05-24,Changi,Max humidity,100.00
2004-05-26,Changi,Max humidity,100.00
2004-05-26,Changi,Min Temperature,24.00
2004-05-27,Changi,Max humidity,100.00
2004-05-29,Changi,Max humidity,100.00
2004-05-30,Changi,Max humidity,100.00
2004-06-01,Changi,Max Temperature,33.00
2004-06-01,Changi,Max humidity,100.00
2004-06-05,Changi,Max humidity,100.00
2004-06-07,Changi,Max humidity,100.00
2004-06-09,Changi,Max humidity,100.00
2004-06-09,Changi,Min Temperature,23.00
2004-06-10,Changi,Max humidity,100.00
2004-06-11,Changi,Max Temperature,33.00
2004-06-12,Changi,Max Temperature,33.00
2004-06-13,Changi,Min humidity,94.31
2004-06-13,Changi,Max Temperature,33.00
2004-06-14,Changi,Min humidity,94.31
2004-06-14,Changi,Max Temperature,33.00
2004-06-15,Changi,Min humidity,94.31
2004-06-15,Changi,Max Temperature,33.00
2004-06-16,Changi,Min humidity,94.31
2004-06-16,Changi,Max Temperature,33.00
2004-06-17,Changi,Max Temperature,33.00
2004-06-18,Changi,Max Temperature,33.00
2004-06-19,Changi,Max Temperature,33.00
2004-06-20,Changi,Max Temperature,33.00
2004-06-21,Changi,Max Temperature,33.00
2004-06-23,Changi,Min humidity,94.31
2004-06-28,Changi,Max Temperature,33.00
2004-06-30,Changi,Max humidity,100.00
2004-07-02,Changi,Max humidity,100.00
2004-07-04,Changi,Max humidity,100.00
2004-07-05,Changi,Max humidity,100.00
2004-07-06,Changi,Max humidity,100.00
2004-07-07,Changi,Max humidity,100.00
2004-07-08,Changi,Max humidity,100.00
2004-07-09,Changi,Max humidity,100.00
2004-07-09,Changi,Min humidity,M
2004-07-09,Changi,Max Temperature,M
2004-07-10,Changi,Max humidity,100.00
2004-07-11,Changi,Max humidity,100.00
2004-07-12,Changi,Max humidity,100.00
2004-07-13,Changi,Max humidity,100.00
2004-07-14,Changi,Max humidity,100.00
2004-07-15,Changi,Max humidity,100.00
2004-07-16,Changi,Max humidity,100.00
2004-07-17,Changi,Max humidity,100.00
2004-07-17,Changi,Min Temperature,22.00
2004-07-21,Changi,Max humidity,100.00
2004-07-24,Changi,Max humidity,100.00
2004-07-28,Changi,Max humidity,100.00
2004-07-29,Changi,Max humidity,100.00
2004-07-30,Changi,Max humidity,100.00
2004-07-31,Changi,Max humidity,100.00
2004-08-02,Changi,Max humidity,100.00
2004-08-02,Changi,Min Temperature,23.00
2004-08-15,Changi,Max humidity,100.00
2004-08-16,Changi,Max humidity,100.00
2004-08-19,Changi,Max humidity,100.00
2004-08-20,Changi,Max humidity,100.00
2004-08-21,Changi,Max humidity,100.00
2004-08-22,Changi,Max Temperature,33.00
2004-08-25,Changi,Max humidity,100.00
2004-08-26,Changi,Max humidity,100.00
2004-08-27,Changi,Min humidity,94.31
2004-09-02,Changi,Min humidity,94.27
2004-09-04,Changi,Min humidity,94.27
2004-09-05,Changi,Min humidity,94.27
2004-09-07,Changi,Max humidity,100.00
2004-09-07,Changi,Min Temperature,24.00
2004-09-07,Changi,Min humidity,94.27
2004-09-08,Changi,Max humidity,100.00
2004-09-10,Changi,Max Temperature,33.00
2004-09-11,Changi,Min humidity,94.27
2004-09-14,Changi,Min humidity,94.27
2004-09-14,Changi,Max humidity,100.00
2004-09-15,Changi,Max humidity,100.00
2004-09-15,Changi,Min humidity,94.27
2004-09-16,Changi,Max humidity,100.00
2004-09-17,Changi,Max humidity,100.00
2004-09-17,Changi,Min humidity,94.27
2004-09-18,Changi,Min humidity,94.27
2004-09-18,Changi,Max humidity,100.00
2004-09-19,Changi,Min Temperature,24.00
2004-09-19,Changi,Max humidity,100.00
2004-09-20,Changi,Max humidity,100.00
2004-09-21,Changi,Min humidity,94.27
2004-09-21,Changi,Max humidity,100.00
2004-09-21,Changi,Min Temperature,24.00
2004-09-22,Changi,Max humidity,100.00
2004-09-22,Changi,Min Temperature,24.00
2004-09-22,Changi,Min humidity,94.27
2004-09-23,Changi,Max humidity,100.00
2004-09-24,Changi,Min humidity,94.27
2004-09-24,Changi,Max humidity,100.00
2004-09-25,Changi,Min humidity,94.27
2004-09-25,Changi,Max humidity,100.00
2004-09-26,Changi,Max humidity,100.00
2004-09-27,Changi,Max humidity,100.00
2004-09-28,Changi,Min humidity,94.27
2004-09-28,Changi,Max humidity,100.00
2004-09-29,Changi,Min humidity,94.27
2004-09-30,Changi,Max humidity,100.00
2004-09-30,Changi,Min humidity,94.27
2004-10-02,Changi,Max humidity,100.00
2004-10-02,Changi,Min Temperature,24.00
2004-10-03,Changi,Max humidity,100.00
2004-10-03,Changi,Min humidity,94.27
2004-10-04,Changi,Max humidity,100.00
2004-10-05,Changi,Min humidity,94.27
2004-10-06,Changi,Min humidity,94.27
2004-10-08,Changi,Min humidity,94.27
2004-10-09,Changi,Min humidity,94.27
2004-10-11,Changi,Min humidity,94.27
2004-10-12,Changi,Min humidity,94.27
2004-10-13,Changi,Min humidity,94.27
2004-10-13,Changi,Max humidity,100.00
2004-10-15,Changi,Min humidity,94.27
2004-10-15,Changi,Max humidity,100.00
2004-10-15,Changi,Max Temperature,34.00
2004-10-16,Changi,Min humidity,94.27
2004-10-18,Changi,Min humidity,94.27
2004-10-18,Changi,Max humidity,100.00
2004-10-19,Changi,Min humidity,94.27
2004-10-19,Changi,Min Temperature,24.00
2004-10-19,Changi,Max humidity,100.00
2004-10-20,Changi,Max humidity,100.00
2004-10-21,Changi,Max humidity,100.00
2004-10-21,Changi,Min Temperature,24.00
2004-10-21,Changi,Min humidity,94.27
2004-10-22,Changi,Max humidity,100.00
2004-10-22,Changi,Min humidity,94.27
2004-10-23,Changi,Max humidity,100.00
2004-10-23,Changi,Min Temperature,24.00
2004-10-24,Changi,Max humidity,100.00
2004-10-24,Changi,Min humidity,94.27
2004-10-25,Changi,Min humidity,94.27
2004-10-25,Changi,Max humidity,100.00
2004-10-25,Changi,Min Temperature,24.00
2004-10-26,Changi,Min humidity,94.27
2004-10-26,Changi,Max humidity,100.00
2004-10-27,Changi,Max humidity,100.00
2004-10-27,Changi,Min humidity,94.27
2004-10-28,Changi,Max humidity,100.00
2004-10-28,Changi,Min Temperature,24.00
2004-10-28,Changi,Min humidity,94.27
2004-10-29,Changi,Max humidity,100.00
2004-10-29,Changi,Min Temperature,24.00
2004-10-29,Changi,Min humidity,94.27
2004-10-30,Changi,Max humidity,100.00
2004-10-31,Changi,Max humidity,100.00
2004-11-01,Changi,Max humidity,100.00
2004-11-01,Changi,Max Temperature,32.00
2004-11-02,Changi,Max humidity,100.00
2004-11-03,Changi,Max humidity,100.00
2004-11-03,Changi,Max Temperature,32.00
2004-11-04,Changi,Max humidity,100.00
2004-11-05,Changi,Max humidity,100.00
2004-11-06,Changi,Max humidity,100.00
2004-11-06,Changi,Max Temperature,32.00
2004-11-07,Changi,Max Temperature,32.00
2004-11-10,Changi,Max Temperature,32.00
2004-11-11,Changi,Max Temperature,32.00
2004-11-12,Changi,Max humidity,100.00
2004-11-13,Changi,Max humidity,100.00
2004-11-13,Changi,Max Temperature,32.00
2004-11-14,Changi,Max humidity,100.00
2004-11-15,Changi,Max humidity,100.00
2004-11-15,Changi,Max Temperature,32.00
2004-11-16,Changi,Max humidity,100.00
2004-11-17,Changi,Max Temperature,32.00
2004-11-18,Changi,Max Temperature,32.00
2004-11-19,Changi,Max Temperature,32.00
2004-11-19,Changi,Min humidity,94.31
2004-11-19,Changi,Max humidity,100.00
2004-11-20,Changi,Max humidity,100.00
2004-11-20,Changi,Min Temperature,23.00
2004-11-24,Changi,Max humidity,100.00
2004-11-25,Changi,Max humidity,100.00
2004-11-25,Changi,Max Temperature,32.00
2004-11-26,Changi,Max humidity,100.00
2004-11-27,Changi,Max humidity,100.00
2004-11-27,Changi,Max Temperature,32.00
2004-11-28,Changi,Max Temperature,32.00
2004-11-29,Changi,Max humidity,100.00
2004-12-03,Changi,Max humidity,100.00
2004-12-03,Changi,Max Temperature,33.00
